# Supplemental File S1 - Sheffield Nanopore Canonical ORF Sub-Genomic RNA Counts
# Canonical ORF counts for the Sheffield Nanopore dataset from clinical SARS-CoV-2 samples
# mapped_reads: Total mapped reads
# amplicons: The amplicon(s) that gave rise to the sub-genomic RNA
# gRNA_count: The number of genomic reads at this ORF
# sgRNA_HQ_count: The number of high quality reads supporting sub-genomic RNA at this ORF
# sgRNA_LQ_count: The number of low quality reads supporting sub-genomic RNA at this ORF
# sgRNA_LLQ_count: The number of low low quality reads supporting sub-genomic RNA at this ORF
# gRHPT: Genomic reads per hundred thousand mapped reads
# sgRPTg_HQ: High quality sub-genomic reads per thousand genomic
# sgRPTg_LQ: Low quality sub-genomic reads per thousand genomic
# sgRPTg_LLQ: Low low quality sub-genomic reads per thousand genomic
# sgRPTg_ALL: All sub-genomic reads per thousand genomic
# sgRPHT_HQ: High quality sub-genomic reads per hundred thousand mapped reads
# sgRPHT_LQ: Low quality sub-genomic reads per hundred thousand mapped reads
# sgRPHT_LLQ: Low low quality sub-genomic reads per hundred thousand mapped reads
# sgRPHT_All: All sub-genomic reads per hundred thousand mapped reads
sample,orf,mapped_reads,amplicons,gRNA_count,sgRNA_HQ_count,sgRNA_LQ_count,sgRNA_LLQ_count,gRHPT,sgRPTg_HQ,sgRPTg_LQ,sgRPTg_LLQ,sgRPTg_ALL,sgRPHT_HQ,sgRPHT_LQ,sgRPHT_LLQ,sgRPHT_ALL
SHEF-BFD63,ORF1a,504121,1|2,7984,4300,1416,132,1583.746759,27640.75336,9116.512223,851.6129032,37608.87849,852.9698227,280.8849463,26.18418991,1160.038959
SHEF-BFD63,S,504121,71|72,9026,94,50,7,1790.443167,30.83675748,16.57824934,2.320954907,49.73596173,18.64631705,9.918253753,1.388555525,29.95312633
SHEF-BFD63,ORF3a,504121,84|85,6054,2,1,5,1200.902164,0.903451561,0.217580505,1.556193075,2.677225141,0.39673015,0.198365075,0.991825375,1.5869206
SHEF-BFD63,E,504121,87|88,11492,36,13,183,2279.611442,6.305680192,2.277904328,32.06352144,40.64710596,7.141142702,2.578745976,36.30080873,46.02069741
SHEF-BFD63,M,504121,87|88,11492,222,78,8,2279.611442,38.89723442,13.66033828,1.401787279,53.95935998,44.03704666,15.47247585,1.5869206,61.09644312
SHEF-BFD63,ORF6,504121,89|90,4100,12,10,4,813.2968077,11.29688142,8.150066159,2.922959347,22.36990692,2.380380901,1.983650751,0.7934603,5.157491951
SHEF-BFD63,ORF7a,504121,90|91,4267,4,3,37,846.4237752,3.207956665,2.24177309,11.4480198,16.89774956,0.7934603,0.595095225,7.339507777,8.728063302
SHEF-BFD63,ORF8,504121,92,4908,1,0,2,973.5757884,0.203748981,0,0.407497963,0.611246944,0.198365075,0,0.39673015,0.595095225
SHEF-BFD63,N,504121,93|94,13497,484,172,21,2677.333418,57.5130094,20.41058502,2.491990032,80.41558445,96.00869632,34.11879291,4.165666576,134.2931558
SHEF-BFD63,N*,504121,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-BFD63,ORF10,504121,98,1914,0,0,18,379.6707536,0,0,9.404388715,9.404388715,0,0,3.570571351,3.570571351
SHEF-BFD72,ORF1a,506704,1|2|3,14969,4494,1563,148,2954.190218,23269.83511,8093.398585,766.8393782,32130.07308,886.9083331,308.4641132,29.20837412,1224.58082
SHEF-BFD72,S,506704,71|72,8856,122,49,9,1747.765954,36.12673971,14.39631429,2.665087356,53.18814135,24.07717326,9.67034008,1.776184913,35.52369825
SHEF-BFD72,ORF3a,506704,84|85,7094,2,0,3,1400.028419,0.622277536,0,0.773195876,1.395473412,0.394707758,0,0.592061638,0.986769396
SHEF-BFD72,E,506704,86|87,8884,23,6,162,1753.291863,4.33052892,1.101726037,29.74660301,35.17885797,4.539139221,1.184123275,31.97132843,37.69459092
SHEF-BFD72,M,506704,87|88,10452,209,86,10,2062.742745,38.3767903,15.79140654,1.852349344,56.02054619,41.24696075,16.97243361,1.973538792,60.19293315
SHEF-BFD72,ORF6,506704,89|90,4893,50,17,5,965.6525309,28.12693483,8.971616452,2.863688431,39.96223972,9.867693959,3.355015946,0.986769396,14.2094793
SHEF-BFD72,ORF7a,506704,90|91,4892,7,2,6,965.455177,2.990249503,0.635525898,2.161880647,5.787656048,1.381477154,0.394707758,1.184123275,2.960308188
SHEF-BFD72,ORF8,506704,92,4427,0,4,7,873.6856232,0,0.90354642,1.581206234,2.484752654,0,0.789415517,1.381477154,2.170892671
SHEF-BFD72,N,506704,93,8412,282,106,22,1660.140832,33.5235378,12.60104612,2.61531146,48.73989539,55.65379393,20.91951119,4.341785342,80.91509047
SHEF-BFD72,N*,506704,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-BFD72,ORF10,506704,97|98,7290,0,0,44,1438.709779,0,0,18.04309963,18.04309963,0,0,8.683570684,8.683570684
SHEF-BFD81,ORF1a,537620,1|2|3|4,29999,4346,1470,136,5579.963543,32400.0524,10986.61144,985.399101,44372.06294,808.3776645,273.4273279,25.29667795,1107.10167
SHEF-BFD81,S,537620,71|72,7812,23,10,1,1453.070942,19.18138225,8.650519031,0.865051903,28.69695319,4.278114653,1.860049849,0.186004985,6.324169488
SHEF-BFD81,ORF3a,537620,84,7078,0,0,3,1316.543283,0,0,0.423848545,0.423848545,0,0,0.558014955,0.558014955
SHEF-BFD81,E,537620,87,6218,25,8,214,1156.578996,4.020585397,1.286587327,34.416211,39.72338372,4.650124623,1.488039879,39.80506678,45.94323128
SHEF-BFD81,M,537620,87,6218,223,69,11,1156.578996,35.86362174,11.0968157,1.769057575,48.72949501,41.47911164,12.83434396,2.046054834,56.35951043
SHEF-BFD81,ORF6,537620,89|90,4834,21,12,3,899.1480972,141.4562199,84.74680153,28.03738318,254.2404046,3.906104684,2.232059819,0.558014955,6.696179458
SHEF-BFD81,ORF7a,537620,90,4727,0,1,0,879.2455638,0,0.211550666,0,0.211550666,0,0.186004985,0,0.186004985
SHEF-BFD81,ORF8,537620,92,6102,0,0,3,1135.002418,0,0,0.491642085,0.491642085,0,0,0.558014955,0.558014955
SHEF-BFD81,N,537620,93|94,15939,445,202,22,2964.733455,40.23144381,18.37695757,1.988970256,60.59737164,82.7722183,37.57300696,4.092109669,124.4373349
SHEF-BFD81,N*,537620,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-BFD81,ORF10,537620,98,1110,0,0,6,206.4655333,0,0,5.405405405,5.405405405,0,0,1.11602991,1.11602991
SHEF-BFDBE,ORF1a,607986,1|2|4,25349,1323,495,53,4169.339426,30549.00879,11567.61891,1307.852141,43424.47984,217.6036948,81.4163484,8.717305991,307.7373492
SHEF-BFDBE,S,607986,71|72,12022,107,39,5,1977.348163,77.19567695,28.6651458,4.042037187,109.9028599,17.59908945,6.414621389,0.822387358,24.8360982
SHEF-BFDBE,ORF3a,607986,84|85,9510,6,0,4,1564.180754,6.118594771,0,0.436776589,6.555371359,0.986864829,0,0.657909886,1.644774715
SHEF-BFDBE,E,607986,87,9269,0,0,323,1524.541684,0,0,34.8473406,34.8473406,0,0,53.1262233,53.1262233
SHEF-BFDBE,M,607986,87,9269,173,55,7,1524.541684,18.66436509,5.933757687,0.755205524,25.3533283,28.45460257,9.046260934,1.151342301,38.65220581
