# Supplemental File S19 - ENA Accession Number to ID Used in Manuscript
# ENA Accession number conversion
# ena_accession: ENA accession number
# study_id: Sample ID used in this manuscript
ena_accession,study_id
ERS5552044,SHEF-CC3DA
ERS5552045,SHEF-CAD56
ERS5552046,SHEF-CEBFE
ERS5552047,SHEF-C1F86
ERS5552048,SHEF-C0A68
ERS5552049,SHEF-C7B40
ERS5552050,SHEF-C930A
ERS5552051,SHEF-C6D4B
ERS5552052,SHEF-C0C08
ERS5552053,SHEF-C179D
ERS5552054,SHEF-C3063
ERS5552055,SHEF-CAC59
ERS5552056,SHEF-CFDBB
ERS5552057,SHEF-C4D6B
ERS5552058,SHEF-CD807
ERS5552059,SHEF-C88A2
ERS5552060,SHEF-C2AC0
ERS5552061,SHEF-C2BDC
ERS5552062,SHEF-C4615
ERS5552063,SHEF-CDA3E
ERS5552064,SHEF-C3C7E
ERS5552065,SHEF-C51B9
ERS5552066,SHEF-C4C7D
ERS5552067,SHEF-CA05D
ERS5552068,SHEF-D2CE5
ERS5552069,SHEF-CDE8D
ERS5552070,SHEF-D31E5
ERS5552071,SHEF-CD1DF
ERS5552072,SHEF-C29C3
ERS5552073,SHEF-CC4AA
ERS5552074,SHEF-CC923
ERS5552075,SHEF-CDD17
ERS5552076,SHEF-CF6ED
ERS5552077,SHEF-CCE7F
ERS5552078,SHEF-C20BF
ERS5552079,SHEF-D2DA6
ERS5552080,SHEF-D2AFA
ERS5552081,SHEF-C724B
ERS5552082,SHEF-D2E2B
ERS5552083,SHEF-CDB2C
ERS5552084,SHEF-C7102
ERS5552085,SHEF-CBA03
ERS5552086,SHEF-CCDBE
ERS5552087,SHEF-CA4BB
ERS5552088,SHEF-C81E3
ERS5552089,SHEF-C5614
ERS5552090,SHEF-C32F4
ERS5552091,SHEF-C7FBD
ERS5552092,SHEF-CA828
ERS5552093,SHEF-CEE31
ERS5552094,SHEF-C8CB5
ERS5552095,SHEF-CD38E
ERS5552096,SHEF-CB292
ERS5552097,SHEF-CAFC9
ERS5552098,SHEF-CB441
ERS5552099,SHEF-C5D97
ERS5552100,SHEF-D01CA
ERS5552101,SHEF-C225F
ERS5552102,SHEF-D11AB
ERS5552103,SHEF-CB502
ERS5552104,SHEF-C88DF
ERS5552105,SHEF-C8936
ERS5552106,SHEF-CA04E
ERS5552107,SHEF-C7D77
ERS5552108,SHEF-C6640
ERS5552109,SHEF-CB2A1
ERS5552110,SHEF-D132D
ERS5552111,SHEF-C0A95
ERS5552112,SHEF-C1C16
ERS5552113,SHEF-C33C4
ERS5552114,SHEF-C3FA2
ERS5552115,SHEF-D0BDB
ERS5552116,SHEF-D1369
ERS5552117,SHEF-C2AFD
ERS5552118,SHEF-D1F65
ERS5552119,SHEF-C47B8
ERS5552120,SHEF-C3C23
ERS5552121,SHEF-C2D6D
ERS5552122,SHEF-C7ECF
ERS5552123,SHEF-D2438
ERS5552124,SHEF-C65DA
ERS5552125,SHEF-CB159
ERS5552126,SHEF-D18B5
ERS5552127,SHEF-C8C4C
ERS5552128,SHEF-C576C
ERS5552129,SHEF-CF8BA
ERS5552130,SHEF-CD500
ERS5552131,SHEF-D2104
ERS5552132,SHEF-D1D3E
ERS5552133,SHEF-CFDAC
ERS5552134,SHEF-C5C4F
ERS5552135,SHEF-D19B2
ERS5552136,SHEF-D2A36
ERS5552137,SHEF-C19F1
ERS5552138,SHEF-C822C
ERS5552139,SHEF-CB423
ERS5552140,SHEF-C80AA
ERS5552141,SHEF-D2F82
ERS5552142,SHEF-C43D2
ERS5552143,SHEF-CF094
ERS5552144,SHEF-C41BA
ERS5552145,SHEF-D0300
ERS5552146,SHEF-CF86F
ERS5552147,SHEF-C5878
ERS5552148,SHEF-C7B31
ERS5552149,SHEF-C8286
ERS5552150,SHEF-D091D
ERS5552151,SHEF-CE0D1
ERS5552152,SHEF-CEE7D
ERS5552153,SHEF-C0A59
ERS5552154,SHEF-C77B5
ERS5552155,SHEF-C6B7E
ERS5552156,SHEF-C6543
ERS5552157,SHEF-C2CE8
ERS5552158,SHEF-D068F
ERS5552159,SHEF-C5A36
ERS5552160,SHEF-C57A8
ERS5552161,SHEF-C5984
ERS5552162,SHEF-C1715
ERS5552163,SHEF-D0986
ERS5552164,SHEF-C4E77
ERS5552165,SHEF-D273F
ERS5552166,SHEF-CA5C7
ERS5552167,SHEF-C9AD8
ERS5552168,SHEF-C682C
ERS5552169,SHEF-CF8AB
ERS5552170,SHEF-CD6C1
ERS5552171,SHEF-D141B
ERS5552172,SHEF-C0F96
ERS5552173,SHEF-CD184
ERS5552174,SHEF-C816B
ERS5552175,SHEF-C625B
ERS5552176,SHEF-C70AB
ERS5552177,SHEF-CBBB5
ERS5552178,SHEF-CE0FF
ERS5552179,SHEF-D3473
ERS5552180,SHEF-CF0EF
ERS5552181,SHEF-D2720
ERS5552182,SHEF-CA873
ERS5552183,SHEF-C817A
ERS5552184,SHEF-D2711
ERS5552185,SHEF-CF93F
ERS5552186,SHEF-C722D
ERS5552187,SHEF-D1660
ERS5552188,SHEF-C0CBD
ERS5552189,SHEF-C1AEF
ERS5552190,SHEF-C4994
