# Supplemental File S5 - Canonical Sub-Genomic RNA Counts From In Vitro Illumina Metagenomic Data
# Canonical ORF counts of sub-genomic RNA from an in vitro model of SARS-CoV-2 infection assayed using Illumina metaganomic methods
# mapped_reads: Total mapped reads
# amplicons: The amplicon(s) that gave rise to the sub-genomic RNA
# sgRNA_count: The number of sub-genomic reads at this ORF
# coverage: Average coverage in a wiondow around ORF start site
# sgRPTL: Sub-genomic reads per thousand around ORF start site (coverage)
# sgRPHT: Sub-genomic reads per hundred thousand mapped reads
sample,mapped_reads,orf,sgRNA_count,coverage,sgRPTL,sgRPHT
V_GLA2_24_S25,237427,S,68,1132.0,60.07067137809188,2.8640382096391734
V_GLA2_24_S25,237427,ORF3a,34,304.0,111.8421052631579,1.4320191048195867
V_GLA2_24_S25,237427,M,58,112.0,517.8571428571429,2.4428561199863537
V_GLA2_24_S25,237427,ORF6,1,180.0,5.555555555555555,0.04211820896528196
V_GLA2_24_S25,237427,ORF7a,31,323.0,95.97523219814241,1.3056644779237407
V_GLA2_24_S25,237427,ORF8,11,1086.5,10.124252185918085,0.46330029861810157
V_GLA2_24_S25,237427,N,87,1718.0,50.640279394644935,3.6642841799795307
V_GLA2_48_S65,5735409,S,1608,6770.0,237.5184638109306,2.8036361487036063
V_GLA2_48_S65,5735409,ORF3a,1529,4948.0,309.0137429264349,2.6658953180148095
V_GLA2_48_S65,5735409,E,111,3314.0,33.49426674713337,0.1935345848918534
V_GLA2_48_S65,5735409,M,1508,2212.0,681.7359855334538,2.6292806668190534
V_GLA2_48_S65,5735409,ORF6,130,4187.5,31.044776119402986,0.2266621264499184
V_GLA2_48_S65,5735409,ORF7a,982,4071.0,241.2183738639155,1.7121708321063067
V_GLA2_48_S65,5735409,ORF8,397,6971.0,56.95022234973462,0.6921912630816739
V_GLA2_48_S65,5735409,N,2457,7986.0,307.6634109691961,4.283914189903458
V_GLA2_72_S105,1387013,S,1482,3500.0,423.42857142857144,10.68483136062892
V_GLA2_72_S105,1387013,ORF3a,2664,3511.0,758.7581885502706,19.206741393195305
V_GLA2_72_S105,1387013,E,163,3291.5,49.52149475922831,1.175187254913977
V_GLA2_72_S105,1387013,M,779,1402.0,555.6348074179743,5.616385715202381
V_GLA2_72_S105,1387013,ORF6,227,2595.0,87.47591522157995,1.6366104715673175
V_GLA2_72_S105,1387013,ORF7a,4244,2482.0,1709.9113618049957,30.598127054324653
V_GLA2_72_S105,1387013,ORF8,633,4022.0,157.3843858776728,4.563764002211947
V_GLA2_72_S105,1387013,N,11114,5510.5,2016.876871427275,80.12902546695669
V_GLA2_72_S105,1387013,N*,1,3436.0,0.2910360884749709,0.007209737760208448
V_GLA2_72_S105,1387013,ORF10,2,4112.0,0.48638132295719844,0.014419475520416896
VA_GLA2_24_S33,183086,S,172,642.0,267.91277258566976,9.394492205848618
VA_GLA2_24_S33,183086,ORF3a,181,386.5,468.3053040103493,9.88606447243372
VA_GLA2_24_S33,183086,E,11,339.0,32.448377581120944,0.6008105480484581
VA_GLA2_24_S33,183086,M,114,232.0,491.37931034482756,6.226582043411294
VA_GLA2_24_S33,183086,ORF6,18,421.5,42.704626334519574,0.9831445331702042
VA_GLA2_24_S33,183086,ORF7a,314,804.5,390.30453697949036,17.150410189746896
VA_GLA2_24_S33,183086,ORF8,67,1654.0,40.507859733978236,3.659482429022427
VA_GLA2_24_S33,183086,N,790,2164.5,364.980364980365,43.14912117802563
VA_GLA2_48_S66,2065272,ORF1a,2,4160.0,0.4807692307692307,0.009683954462172538
VA_GLA2_48_S66,2065272,S,1368,2146.5,637.3165618448637,6.623824852126016
VA_GLA2_48_S66,2065272,ORF3a,1568,3628.0,432.19404630650496,7.592220298343269
VA_GLA2_48_S66,2065272,E,107,2742.0,39.02261123267688,0.5180915637262308
VA_GLA2_48_S66,2065272,M,727,1663.0,437.16175586289836,3.520117446999717
VA_GLA2_48_S66,2065272,ORF6,117,2768.5,42.26115224851002,0.5665113360370935
VA_GLA2_48_S66,2065272,ORF7a,1207,3002.0,402.0652898067955,5.844266517921127
VA_GLA2_48_S66,2065272,ORF8,364,4406.0,82.61461643213799,1.7624797121154019
VA_GLA2_48_S66,2065272,N,3622,7932.0,456.631366616238,17.537641530994467
VA_GLA2_72_S106,1453415,ORF1a,1,3178.0,0.3146633102580239,0.006880347319932711
VA_GLA2_72_S106,1453415,S,1184,3668.0,322.79171210468917,8.14633122680033
VA_GLA2_72_S106,1453415,ORF3a,1711,3562.0,480.34811903425043,11.772274264404867
VA_GLA2_72_S106,1453415,E,127,3035.0,41.845140032948926,0.8738041096314542
VA_GLA2_72_S106,1453415,M,375,858.0,437.06293706293707,2.5801302449747663
VA_GLA2_72_S106,1453415,ORF6,81,2356.0,34.38030560271647,0.5573081329145495
VA_GLA2_72_S106,1453415,ORF7a,1781,2284.0,779.7723292469352,12.253898576800157
VA_GLA2_72_S106,1453415,ORF8,346,4116.0,84.06219630709427,2.3806001726967176
VA_GLA2_72_S106,1453415,N,5481,5986.5,915.5600100225507,37.711183660551185
VA_GLA2_72_S106,1453415,ORF10,1,3539.0,0.2825656965244419,0.006880347319932711
VA_GLA1_24_S17,247864,S,209,681.0,306.9016152716593,8.43204337862699
VA_GLA1_24_S17,247864,ORF3a,235,502.0,468.1274900398406,9.481005712810251
VA_GLA1_24_S17,247864,E,28,442.0,63.34841628959276,1.1296517445050511
VA_GLA1_24_S17,247864,M,157,280.0,560.7142857142857,6.334118710260466
VA_GLA1_24_S17,247864,ORF6,21,445.5,47.138047138047135,0.8472388083787884
VA_GLA1_24_S17,247864,ORF7a,474,748.0,633.6898395721926,19.12339024626408
VA_GLA1_24_S17,247864,ORF8,100,2283.5,43.79242391066345,4.034470516089469
