sample,orf,mapped_reads,amplicons,gRNA_count,sgRNA_HQ_count,sgRNA_LQ_count,sgRNA_LLQ_count,gRHPT,sgRPTg_HQ,sgRPTg_LQ,sgRPTg_LLQ,sgRPTg_ALL,sgRPHT_HQ,sgRPHT_LQ,sgRPHT_LLQ,sgRPHT_ALL
V_GLA2_24,ORF1a,416561,1|2|3|4|6,15804,4373,1035,85,3793.922138654363,34141.36783785981,8042.413840861521,661.5739399059064,42845.35561862724,1049.7862257868596,248.46301021939163,20.405174752317187,1318.6544107585685
V_GLA2_24,S,416561,71|73,4102,1,0,1,984.7297274588836,0.2598752598752599,0,3.937007874015748,4.196883133891008,0.24006087943902574,0,0.24006087943902574,0.4801217588780515
V_GLA2_24,ORF3a,416561,84|85|86,10189,0,0,7,2445.980300604233,0,0,2.112240173837724,2.112240173837724,0,0,1.6804261560731801,1.6804261560731801
V_GLA2_24,E,416561,87|88|89|90,19821,7,0,119,4758.246691360929,2.348993288590604,0,37.45908264692832,39.80807593551893,1.6804261560731801,0,28.56724465324406,30.247670809317242
V_GLA2_24,M,416561,88,4102,4,1,3,984.7297274588835,0.9751340809361286,0.24378352023403216,0.7313505607020965,1.9502681618722573,0.960243517756103,0.24006087943902574,0.7201826383170772,1.9204870355122057
V_GLA2_24,ORF6,416561,89,9326,0,1,1,2238.807761648354,0,0.1072271070126528,0.1072271070126528,0.2144542140253056,0,0.24006087943902574,0.24006087943902574,0.4801217588780515
V_GLA2_24,ORF7a,416561,91,1562,0,0,2,374.9750936837582,0,0,1.2804097311139564,1.2804097311139564,0,0,0.4801217588780515,0.4801217588780515
V_GLA2_24,ORF8,416561,96,4906,0,0,2,1177.7386745278602,0,0,0.4076640847941297,0.4076640847941297,0,0,0.4801217588780515,0.4801217588780515
V_GLA2_24,N,416561,93|94|96|97,15320,9,4,5,3677.7326730058744,3.8207132977490983,1.484785275210532,1.6886173176075967,6.994115890567227,2.1605479149512314,0.960243517756103,1.2003043971951286,4.321095829902463
V_GLA2_24,N*,416561,,0,0,0,0,0,0,0,0,0,0,0,0,0
V_GLA2_24,ORF10,416561,98,2599,0,0,15,623.9182256620279,0,0,5.771450557906887,5.771450557906887,0,0,3.600913191585386,3.600913191585386
V_GLA2_48,ORF1a,307759,1|2|3|4|5|6,12232,3236,736,66,3974.5385187760558,28927.26675404438,6654.422087078884,574.2499855719897,36155.93882669525,1051.4720934237503,239.14816463531528,21.445351720014685,1312.0656097790802
V_GLA2_48,S,307759,72|73,6593,13,2,6,2142.260665000861,3.912127595546193,0.6018657839301835,1.810474857378976,6.324468236855353,4.224084429699863,0.6498591430307481,1.9495774290922445,6.823521001822856
V_GLA2_48,ORF3a,307759,84|85|86|87|88,8860,5,3,21,2878.8760036262147,3.8092294030597613,2.8169014084507045,13.755033246127322,20.38116405763779,1.6246478575768704,0.9747887145461221,6.823521001822854,9.422957573945848
V_GLA2_48,E,307759,87|88|89|90|91,17041,3,2,104,5537.12482819349,1.0208658668237458,0.21774632553075665,37.01477390484859,38.25338609720309,0.9747887145461221,0.6498591430307481,33.79267543759891,35.41732329517578
V_GLA2_48,M,307759,88|89,11378,10,7,9,3697.048664701926,1.782978006181394,1.4563585178852592,2.3683512219436267,5.60768774601028,3.2492957151537407,2.2745070006076187,2.9243661436383666,8.448168859399726
V_GLA2_48,ORF6,307759,89|90|91|92,15718,0,0,7,5107.24300507865,0,0,2.9051665409924796,2.9051665409924796,0,0,2.2745070006076182,2.2745070006076182
V_GLA2_48,ORF7a,307759,90|91|92,6533,3,2,26,2122.7648907099388,1.4144271570014144,0.9429514380009429,11.314180942111259,13.671559537113616,0.9747887145461221,0.6498591430307481,8.448168859399726,10.072816716976597
V_GLA2_48,ORF8,307759,92|94|95,6484,0,0,7,2106.8433417056854,0,0,4.8368269841491855,4.8368269841491855,0,0,2.2745070006076182,2.2745070006076182
V_GLA2_48,N,307759,93|94|95|96|97,12185,19,8,21,3959.2668289148332,8.434264393341879,4.717054387650992,8.824974385909027,21.976293166901897,6.173661858792107,2.5994365721229924,6.823521001822856,15.596619432737954
V_GLA2_48,N*,307759,95|96|97,9068,0,0,13,2946.4613545014117,0,0,4.222110417769963,4.222110417769963,0,0,4.224084429699863,4.224084429699863
V_GLA2_48,ORF10,307759,98,3201,0,0,24,1040.0995584207124,0,0,7.497656982193065,7.497656982193065,0,0,7.798309716368977,7.798309716368977
