sample,orf,mapped_reads,amplicons,gRNA_count,sgRNA_HQ_count,sgRNA_LQ_count,sgRNA_LLQ_count,gRHPT,sgRPTg_HQ,sgRPTg_LQ,sgRPTg_LLQ,sgRPTg_ALL,sgRPHT_HQ,sgRPHT_LQ,sgRPHT_LLQ,sgRPHT_ALL
CVR1996,ORF1a,887815,1|2|3|4,58422,2887,840,66,6580.424975924039,34803.9709736925,10070.220515549341,802.9288794587253,45677.12036870057,325.18035852063775,94.61430590832549,7.4339811785112895,427.22864560747456
CVR1996,S,887815,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR1996,ORF3a,887815,84,23280,0,0,13,2622.167906602164,0,0,0.5584192439862543,0.5584192439862543,0,0,1.4642690200097994,1.4642690200097994
CVR1996,E,887815,87|88,45493,0,0,696,5124.153117485062,0,0,25.267088263422195,25.267088263422195,0,0,78.3947106097554,78.3947106097554
CVR1996,M,887815,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR1996,ORF6,887815,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR1996,ORF7a,887815,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR1996,ORF8,887815,93,78011,0,0,1,8786.853116921882,0,0,0.012818705054415404,0.012818705054415404,0,0,0.11263607846229226,0.11263607846229226
CVR1996,N,887815,93,78011,0,0,5,8786.853116921882,0,0,0.06409352527207701,0.06409352527207701,0,0,0.5631803923114613,0.5631803923114613
CVR1996,N*,887815,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR1996,ORF10,887815,98,700,0,0,8,78.84525492360459,0,0,11.428571428571429,11.428571428571429,0,0,0.9010886276983381,0.9010886276983381
CVR2091,ORF1a,834900,1|2,42383,1182,345,23,5076.416337285902,25578.75504805989,7426.133599414307,575.0,33579.888647474196,141.57384117858425,41.32231404958677,2.7548209366391183,185.65097616481012
CVR2091,S,834900,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2091,ORF3a,834900,84,27593,0,0,7,3304.946700203617,0,0,0.25368752944587397,0.25368752944587397,0,0,0.8384237633249491,0.8384237633249491
CVR2091,E,834900,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2091,M,834900,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2091,ORF6,834900,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2091,ORF7a,834900,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2091,ORF8,834900,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2091,N,834900,93,124204,6300,2306,253,14876.512157144567,50.723004090045414,18.566229751054717,2.0369714340922997,71.32620527519242,754.5813869924542,276.20074260390464,30.3030303030303,1061.085159899389
CVR2091,N*,834900,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2091,ORF10,834900,98,1167,0,0,11,139.77721882860223,0,0,9.425878320479862,9.425878320479862,0,0,1.3175230566534915,1.3175230566534915
CVR2096,ORF1a,681720,1|2|3,36267,1871,559,35,5319.926069353987,43850.55553184485,13565.781779908782,853.3671918071403,58269.70450356078,274.4528545443877,81.99847444698703,5.134072639793463,361.5854016311682
CVR2096,S,681720,71|72|73,18254,98,28,0,2677.638913336854,40.481486724628894,11.452597608425982,0,51.93408433305488,14.375403391421697,4.107258111834771,0,18.482661503256466
CVR2096,ORF3a,681720,84|85,14955,7,5,5,2193.715895088893,2.621241555172568,4.621879055731979,0.34478003034064264,7.58790064124519,1.0268145279586927,0.7334389485419234,0.7334389485419234,2.493692425042539
CVR2096,E,681720,86|87|88,24710,354,116,304,3624.6552836941855,43.31977539314069,10.236498411577832,38.90749159504679,92.46376539976532,51.92747755676818,17.015783606172622,44.593088071348944,113.53634923428974
CVR2096,M,681720,87|88,24628,186,53,5,3612.6268849380976,16.387625556287574,4.677020825979526,0.44122837980938934,21.505874762076488,27.28392888575955,7.774452854544388,0.7334389485419234,35.79182068884586
CVR2096,ORF6,681720,89|90,10863,654,188,15,1593.4694596021827,1018.0540102012391,287.6092902628831,23.508789649538077,1329.1720901136603,95.93381446928358,27.57730446517632,2.20031684562577,125.71143578008565
CVR2096,ORF7a,681720,90|91,10317,1,0,1,1513.3779264214047,19.23076923076923,0,0.0974184120798831,19.328187642849112,0.14668778970838467,0,0.14668778970838467,0.29337557941676934
CVR2096,ORF8,681720,92,5362,0,0,7,786.5399284163586,0,0,1.3054830287206267,1.3054830287206267,0,0,1.0268145279586927,1.0268145279586927
CVR2096,N,681720,93|94,27728,1038,344,42,4067.3590330340903,45.12492868531419,14.897579143389198,1.8188904768091463,61.84139830551253,152.26192571730328,50.46059965968433,6.160887167752157,208.88341254473977
CVR2096,N*,681720,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2096,ORF10,681720,98,570,0,0,4,83.61204013377927,0,0,7.017543859649123,7.017543859649123,0,0,0.5867511588335387,0.5867511588335387
CVR2125,ORF1a,840695,1|2,24602,6786,1861,138,2926.3882858825136,41747.596466228424,11609.56831614843,856.6959504572933,54213.86073283415,807.1892898137851,221.36446630466457,16.41498997852967,1044.9687460969794
CVR2125,S,840695,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2125,ORF3a,840695,84,14264,0,0,11,1696.6914279257044,0,0,0.7711721817162087,0.7711721817162087,0,0,1.3084412301726547,1.3084412301726547
CVR2125,E,840695,87,5328,0,0,138,633.7613522145368,0,0,25.9009009009009,25.9009009009009,0,0,16.41498997852967,16.41498997852967
CVR2125,M,840695,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2125,ORF6,840695,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2125,ORF7a,840695,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2125,ORF8,840695,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2125,N,840695,93,47106,3863,1298,159,5603.2211444102795,82.00653844520868,27.554876236572834,3.3753661953891223,112.93678087717063,459.50077019608773,154.39606516037327,18.91292323613201,632.809758592593
CVR2125,N*,840695,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2125,ORF10,840695,98,158,0,0,1,18.79397403338904,0,0,6.329113924050633,6.329113924050633,0,0,0.11894920274296861,0.11894920274296861
CVR2131,ORF1a,1764543,1|2|3|4,60421,11018,3315,255,3424.1727178085202,19911.6585242847,5989.307804520229,461.1211573236889,26362.087486128617,624.410966465538,187.86734015549632,14.451333858115103,826.7296404791493
CVR2131,S,1764543,71,3433,177,78,10,194.55462405846725,51.558403728517334,22.720652490533062,2.912904165452957,77.19196038450336,10.030925854456365,4.420408003658737,0.5667189748280432,15.018052832943146
CVR2131,ORF3a,1764543,84|85,24335,18,7,7,1379.1106252440431,1.4617040651529205,0.5747858364753051,0.6661591168633423,2.7026490184915684,1.0200941546904778,0.39670328237963026,0.39670328237963026,1.8135007194497383
CVR2131,E,1764543,86|87,31086,131,55,371,1761.7026051504554,10.586649773031036,4.440290521416809,29.888685047776065,44.91562534222391,7.424018570247367,3.116954361554238,21.025273966120405,31.56624689792201
CVR2131,M,1764543,87,12309,1915,614,86,697.5743861158385,155.57721992038347,49.88220001624828,6.986757656998944,212.4461775936307,108.52668367957028,34.79654505444186,4.873783183521172,148.1970119175333
CVR2131,ORF6,1764543,89|90,43466,597,237,39,2463.300695987573,24.434832203265284,9.69563082965145,1.595483554246441,35.72594658716318,33.83312279723419,13.431239703424625,2.2102040018293687,49.47456650248818
CVR2131,ORF7a,1764543,90|91,20692,28,16,17,1172.654902714187,14.035308627828982,7.395911572921868,1.9861654044450265,23.417385605195875,1.586813129518521,0.9067503597248692,0.9634222572076735,3.4569857464510636
CVR2131,ORF8,1764543,92|93,30578,4,7,12,1732.9132812291907,0.4140292133980744,0.6262482511068972,1.4780145338095825,2.518291998314554,0.2266875899312173,0.39670328237963026,0.6800627697936519,1.3034536421044995
CVR2131,N,1764543,93|94|95,46355,6153,2058,247,2627.0258078153947,274.1301721067506,91.71621547822059,10.997818246582662,376.84420583155384,348.70218521169505,116.63076501961129,13.997958678252669,479.33090890955896
CVR2131,N*,1764543,95|96,45284,0,0,3,2566.330205611311,0,0,0.176462321348685,0.176462321348685,0,0,0.17001569244841297,0.17001569244841297
CVR2131,ORF10,1764543,97|98,24823,0,1,70,1406.766511215652,0,0.05132679772109018,10.66171007433543,10.71303687205652,0,0.05667189748280432,3.967032823796303,4.023704721279107
CVR2133,ORF1a,106909,1|3,3483,1577,434,35,3257.9109335977328,33532.2059297055,9234.04255319149,744.6808510638298,43510.92933396082,1475.0862883386806,405.95272615027733,32.73812307663527,1913.7771375655932
CVR2133,S,106909,71,25,13,4,0,23.38437362616805,520.0,160.0,0,680.0,12.159874285607385,3.7414997801868877,0,15.901374065794272
CVR2133,ORF3a,106909,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2133,E,106909,87,310,13,3,11,289.96623296448377,41.935483870967744,9.67741935483871,35.483870967741936,87.09677419354838,12.159874285607385,2.8061248351401655,10.28912439551394,25.25512351626149
CVR2133,M,106909,87,310,359,93,5,289.96623296448377,1158.0645161290322,300.0,16.129032258064516,1474.1935483870968,335.79960527177315,86.98986988934513,4.67687472523361,427.4663498863519
CVR2133,ORF6,106909,89,989,36,8,0,925.085820651208,36.400404448938325,8.088978766430738,0,44.48938321536906,33.673498021681986,7.482999560373775,0,41.15649758205576
CVR2133,ORF7a,106909,90|91,945,3,2,2,883.9293230691521,29.229670198833194,2.202643171806167,2.202643171806167,33.63495654244553,2.8061248351401655,1.8707498900934438,1.8707498900934438,6.547624615327054
CVR2133,ORF8,106909,92,339,0,0,12,317.09210637083874,0,0,35.39823008849557,35.39823008849557,0,0,11.224499340560662,11.224499340560662
CVR2133,N,106909,93,4394,621,231,35,4110.037508535296,141.32908511606735,52.57168866636322,7.965407373691397,201.86618115612197,580.8678408740143,216.07161230579277,32.73812307663527,829.6775762564423
CVR2133,N*,106909,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2133,ORF10,106909,98,246,0,0,5,230.10223648149358,0,0,20.32520325203252,20.32520325203252,0,0,4.67687472523361,4.67687472523361
CVR2162,ORF1a,150382,1,44,1406,414,41,29.25882086951896,31954.545454545456,9409.09090909091,931.8181818181819,42295.45454545455,934.9523214214468,275.2989054541102,27.26390126477903,1237.515128140336
CVR2162,S,150382,71,15,8,2,0,9.974598023699645,533.3333333333334,133.33333333333334,0,666.6666666666667,5.31978561263981,1.3299464031599526,0,6.6497320157997635
CVR2162,ORF3a,150382,84,2805,0,0,2,1865.2498304318337,0,0,0.7130124777183601,0.7130124777183601,0,0,1.3299464031599526,1.3299464031599526
CVR2162,E,150382,87,57,0,0,4,37.903472490058654,0,0,70.17543859649122,70.17543859649122,0,0,2.659892806319905,2.659892806319905
CVR2162,M,150382,87,57,336,91,9,37.903472490058654,5894.736842105263,1596.4912280701753,157.89473684210526,7649.122807017544,223.43099573087207,60.51256134377785,5.984758814219787,289.9283158888697
CVR2162,ORF6,150382,89,286,20,4,2,190.18233565187325,69.93006993006993,13.986013986013987,6.993006993006993,90.9090909090909,13.299464031599527,2.659892806319905,1.3299464031599526,17.289303241079384
CVR2162,ORF7a,150382,90,5922,0,0,5,3937.97129975662,0,0,0.8443093549476529,0.8443093549476529,0,0,3.3248660078998817,3.3248660078998817
CVR2162,ORF8,150382,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2162,N,150382,93,1125,1188,371,57,748.0948517774734,1056.0,329.77777777777777,50.666666666666664,1436.4444444444446,789.9881634770119,246.70505778617124,37.903472490058654,1074.5966937532419
CVR2162,N*,150382,,0,0,0,0,0,0,0,0,0,0,0,0,0
