sample,coverage
SHEF-BFD63,0.988
SHEF-BFD72,0.988
SHEF-BFD81,0.978
SHEF-BFDBE,0.971
SHEF-BFDCD,0.988
SHEF-BFDEB,0.988
SHEF-BFE8E,0.997
SHEF-BFE9D,0.997
SHEF-BFEAC,0.997
SHEF-BFEBB,0.997
SHEF-BFED9,0.997
SHEF-BFEF7,0.997
SHEF-BFF03,0.997
SHEF-BFF12,0.978
SHEF-BFF21,0.987
SHEF-BFF30,0.961
SHEF-BFF4F,0.961
SHEF-BFF5E,0.961
SHEF-BFF6D,0.997
SHEF-BFF7C,0.956
SHEF-BFF8B,0.986
SHEF-BFF9A,0.987
SHEF-BFFA9,0.997
SHEF-BFFB8,0.997
SHEF-BFFC7,0.978
SHEF-BFFD6,0.997
SHEF-BFFE5,0.987
SHEF-BFFF4,0.978
SHEF-C000C,0.987
SHEF-C001B,0.97
SHEF-C002A,0.987
SHEF-C0039,0.987
SHEF-C0048,0.987
SHEF-C0066,0.997
SHEF-C0075,0.987
SHEF-C0084,0.997
SHEF-C00A2,0.979
SHEF-C00C0,0.97
SHEF-C00DF,0.997
SHEF-C00FD,0.979
SHEF-C0118,0.976
SHEF-C0145,0.987
SHEF-C0154,0.977
SHEF-C0172,0.997
SHEF-C01BE,0.987
SHEF-C0206,0.997
SHEF-C0215,0.989
SHEF-C0224,0.997
SHEF-C0233,0.997
SHEF-C0242,0.99
SHEF-C0251,0.997
SHEF-C027F,0.989
SHEF-C028E,0.997
SHEF-C029D,0.988
SHEF-C02AC,0.997
SHEF-C02BB,0.997
SHEF-C02CA,0.997
SHEF-C02D9,0.996
SHEF-C02E8,0.99
SHEF-C02F7,0.997
SHEF-C0303,0.99
SHEF-C0312,0.997
SHEF-C0321,0.997
SHEF-C0330,0.99
SHEF-C034F,0.997
SHEF-C035E,0.997
SHEF-C036D,0.996
SHEF-C037C,0.997
SHEF-C038B,0.997
SHEF-C039A,0.988
SHEF-C03A9,0.997
SHEF-C03B8,0.997
SHEF-C03C7,0.997
SHEF-C03D6,0.989
SHEF-C03E5,0.997
SHEF-C03F4,0.997
SHEF-C0400,0.997
SHEF-C041F,0.997
SHEF-C042E,0.997
SHEF-C043D,0.997
SHEF-C044C,0.997
SHEF-C045B,0.997
SHEF-C046A,0.997
SHEF-C0479,0.989
SHEF-C0488,0.988
SHEF-C0497,0.997
SHEF-C04A6,0.997
SHEF-C04B5,0.997
SHEF-C04C4,0.997
SHEF-C04D3,0.997
SHEF-C04E2,0.997
SHEF-C050D,0.997
SHEF-C051C,0.997
SHEF-C052B,0.997
SHEF-C053A,0.997
SHEF-C0576,0.997
SHEF-C0585,0.997
SHEF-C0594,0.997
SHEF-C05A3,0.997
SHEF-C05B2,0.997
SHEF-C05C1,0.997
SHEF-C05D0,0.995
SHEF-C05FE,0.997
SHEF-C060A,0.997
SHEF-C0619,0.997
SHEF-C0628,0.997
SHEF-C0637,0.997
SHEF-C0655,0.997
SHEF-C0664,0.997
SHEF-C0673,0.997
SHEF-C0682,0.997
SHEF-C0691,0.997
SHEF-C06A0,0.997
SHEF-C06BF,0.997
SHEF-C06CE,0.964
SHEF-C06DD,0.997
SHEF-C06FB,0.997
SHEF-C0707,0.997
SHEF-C0716,0.997
SHEF-C0725,0.997
SHEF-C0734,0.997
SHEF-C0743,0.994
SHEF-C0752,0.997
SHEF-C0770,0.997
SHEF-C079E,0.997
SHEF-C07AD,0.988
SHEF-C07BC,0.997
SHEF-C07CB,0.997
SHEF-C07DA,0.97
SHEF-C0804,0.997
SHEF-C0813,0.997
SHEF-C0822,0.996
SHEF-C0831,0.997
SHEF-C0840,0.997
SHEF-C086E,0.997
SHEF-C087D,0.988
SHEF-C088C,0.988
SHEF-C089B,0.985
SHEF-C08AA,0.988
SHEF-C08B9,0.997
SHEF-C08C8,0.997
SHEF-C08E6,0.988
SHEF-C08F5,0.997
SHEF-C0901,0.988
SHEF-C092F,0.985
SHEF-C093E,0.973
SHEF-C095C,0.997
SHEF-C096B,0.989
SHEF-C0989,0.997
SHEF-C09D4,0.997
SHEF-C09F2,0.98
SHEF-C0A4A,0.95
SHEF-C0A59,0.989
SHEF-C0A68,0.993
SHEF-C0A86,0.988
SHEF-C0A95,0.997
SHEF-C0B92,0.954
SHEF-C0BA1,0.979
SHEF-C0C08,0.997
SHEF-C0C35,0.996
SHEF-C0CBD,0.997
SHEF-C0CEA,0.97
