sample,reads,orf,mapped_reads,amplicons,gRNA_count,sgRNA_HQ_count,sgRNA_LQ_count,sgRNA_LLQ_count,gRHPT,sgRPTg_HQ,sgRPTg_LQ,sgRPTg_LLQ,sgRPTg_ALL,sgRPHT_HQ,sgRPHT_LQ,sgRPHT_LLQ,sgRPHT_ALL
SHEF-BFDFA,100000,ORF1a,100913,1|2,1633,519,147,13,1618.22560026954,17005.6144728634,4769.16198793928,433.333333333333,22208.109794136,514.304400820509,145.670032602341,12.8823838355811,672.85681725843
SHEF-BFDFA,100000,S,100913,71,372,7,2,2,368.634368218168,18.8172043010753,5.37634408602151,5.37634408602151,29.5698924731183,6.93666821915908,1.98190520547402,1.98190520547402,10.9004786301071
SHEF-BFDFA,100000,ORF3a,100913,84|85,1167,1,1,1,1156.44168739409,1,5.98802395209581,1,7.98802395209581,0.990952602737011,0.990952602737011,0.990952602737011,2.97285780821103
SHEF-BFDFA,100000,E,100913,87,1372,16,4,31,1359.58697095518,11.6618075801749,2.91545189504373,22.5947521865889,37.1720116618076,15.8552416437922,3.96381041094804,30.7195306848473,50.5385827395876
SHEF-BFDFA,100000,M,100913,87,1372,56,15,0,1359.58697095518,40.8163265306122,10.932944606414,0,51.7492711370262,55.4933457532726,14.8642890410552,0,70.3576347943278
SHEF-BFDFA,100000,ORF6,100913,89,58,2,0,0,57.4752509587466,34.4827586206897,0,0,34.4827586206897,1.98190520547402,0,0,1.98190520547402
SHEF-BFDFA,100000,ORF7a,100913,90,757,0,0,3,750.151120271917,0,0,3.96301188903567,3.96301188903567,0,0,2.97285780821103,2.97285780821103
SHEF-BFDFA,100000,ORF8,100913,92,1090,0,0,1,1080.13833698334,0,0,0.91743119266055,0.91743119266055,0,0,0.990952602737011,0.990952602737011
SHEF-BFDFA,100000,N,100913,93,1988,40,10,3,1970.01377424118,20.1207243460765,5.03018108651911,1.50905432595573,26.6599597585513,39.6381041094804,9.90952602737011,2.97285780821103,52.5204879450616
SHEF-BFDFA,100000,N*,100913,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-BFDFA,100000,ORF10,100913,97|98,1403,0,0,3,1390.30650164003,0,0,8.26346602688642,8.26346602688642,0,0,2.97285780821103,2.97285780821103
SHEF-BFDFA,10000,ORF1a,10082,1|2,147,40,22,1,1458.04403888117,13006.9444444444,7006.94444444444,333.333333333333,20347.2222222222,396.746677246578,218.210672485618,9.91866693116445,624.87601666336
SHEF-BFDFA,10000,S,10082,71,37,1,0,1,366.990676453085,27.027027027027,0,27.027027027027,54.0540540540541,9.91866693116445,0,9.91866693116445,19.8373338623289
SHEF-BFDFA,10000,ORF3a,10082,84,90,0,0,1,892.680023804801,0,0,11.1111111111111,11.1111111111111,0,0,9.91866693116445,9.91866693116445
SHEF-BFDFA,10000,E,10082,87,111,1,0,3,1100.97202935925,9.00900900900901,0,27.027027027027,36.036036036036,9.91866693116445,0,29.7560007934934,39.6746677246578
SHEF-BFDFA,10000,M,10082,87,111,4,1,0,1100.97202935925,36.036036036036,9.00900900900901,0,45.045045045045,39.6746677246578,9.91866693116445,0,49.5933346558223
SHEF-BFDFA,10000,ORF6,10082,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-BFDFA,10000,ORF7a,10082,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-BFDFA,10000,ORF8,10082,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-BFDFA,10000,N,10082,93,203,3,2,0,2013.48938702638,14.7783251231527,9.85221674876847,0,24.6305418719212,29.7560007934934,19.8373338623289,0,49.5933346558223
