# Supplemental File S13 - Noncanonical Sub-Genomic RNA Counts From In Vitro ARTIC Nanopore Data
# Noncanonical sub-genomic RNA counts
# pos: genomic position of leader-genome junction
# mapped_reads: Total mapped reads
# amplicons: The amplicon(s) that gave rise to the sub-genomic RNA
# gRNA_count: The number of genomic reads at this ORF
# nsgRNA_HQ_count: The number of high quality reads supporting noncanonical sub-genomic RNA at this position
# nsgRNA_LQ_count: The number of low quality reads supporting noncanonical sub-genomic RNA at this position
# nsgRNA_LLQ_count: The number of low low quality reads supporting noncanonical sub-genomic RNA at this position
# gRHPT: Genomic reads per hundred thousand mapped reads
# nsgRPTg_HQ: High quality noncanonical sub-genomic reads per thousand genomic
# nsgRPTg_LQ: Low quality noncanonical sub-genomic reads per thousand genomic
# nsgRPTg_LLQ: Low low quality noncanonical sub-genomic reads per thousand genomic
# nsgRPTg_ALL: All noncanonical noncanonical sub-genomic reads per thousand genomic
# nsgRPHT_HQ: High quality noncanonical sub-genomic reads per hundred thousand mapped reads
# nsgRPHT_LQ: Low quality noncanonical sub-genomic reads per hundred thousand mapped reads
# nsgRPHT_LLQ: Low low quality noncanonical sub-genomic reads per hundred thousand mapped reads
# nsgRPHT_All: All noncanonical sub-genomic reads per hundred thousand mapped reads
sample,novel,pos,mapped_reads,amplicons,gRNA_count,nsgRNA_HQ_count,nsgRNA_LQ_count,gRHPT,nsgRPTg_HQ,nsgRPTg_LQ,nsgRPTg_ALL,nsgRPHT_HQ,nsgRPHT_LQ,nsgRPHT_ALL
sample,orf,mapped_reads,amplicons,gRNA_count,nsgRNA_HQ_count,nsgRNA_LQ_count,gRHPT,nsgRPTg_HQ,nsgRPTg_LQ,nsgRPTg_ALL,nsgRPHT_HQ,nsgRPHT_LQ,nsgRPHT_ALL
V_GLA2_24,novel_0,416561,1,127,2,0,30.48773168875627,15.748031496062993,0,15.748031496062993,0.4801217588780515,0,0.4801217588780515
V_GLA2_24,novel_2688,416561,9,7784,1,0,1868.6338855533763,0.12846865364850976,0,0.12846865364850976,0.24006087943902574,0,0.24006087943902574
V_GLA2_24,novel_3737,416561,13,3056,1,0,733.6260475656627,0.32722513089005234,0,0.32722513089005234,0.24006087943902574,0,0.24006087943902574
V_GLA2_24,novel_5175,416561,18,9150,1,0,2196.5570468670853,0.1092896174863388,0,0.1092896174863388,0.24006087943902574,0,0.24006087943902574
V_GLA2_24,novel_6586,416561,23,3896,1,0,935.2771862944443,0.2566735112936345,0,0.2566735112936345,0.24006087943902574,0,0.24006087943902574
V_GLA2_24,novel_10639,416561,36,3128,1,0,750.9104308852725,0.319693094629156,0,0.319693094629156,0.24006087943902574,0,0.24006087943902574
V_GLA2_24,novel_15776,416561,53,7861,1,0,1887.1185732701813,0.12721027859051012,0,0.12721027859051012,0.24006087943902574,0,0.24006087943902574
V_GLA2_24,novel_20776,416561,69,3097,1,0,743.4685436226627,0.32289312237649337,0,0.32289312237649337,0.24006087943902574,0,0.24006087943902574
V_GLA2_24,novel_27761,416561,92,2700,1,0,648.1643744853695,0.37037037037037035,0,0.37037037037037035,0.24006087943902574,0,0.24006087943902574
V_GLA2_48,novel_0,307759,1|3,4051,4,0,1316.2896942087802,30.86521732396475,0,30.86521732396475,1.2997182860614962,0,1.2997182860614962
V_GLA2_48,novel_2,307759,1,98,2,1,31.843098008506658,20.408163265306122,10.204081632653061,30.612244897959183,0.6498591430307481,0.32492957151537405,0.9747887145461221
V_GLA2_48,novel_4,307759,1,98,1,0,31.843098008506658,10.204081632653061,0,10.204081632653061,0.32492957151537405,0,0.32492957151537405
V_GLA2_48,novel_5,307759,1,98,1,0,31.843098008506658,10.204081632653061,0,10.204081632653061,0.32492957151537405,0,0.32492957151537405
V_GLA2_48,novel_6,307759,1|3,4051,3,0,1316.2896942087802,20.66113569131169,0,20.66113569131169,0.9747887145461221,0,0.9747887145461221
V_GLA2_48,novel_8,307759,1,98,1,1,31.843098008506658,10.204081632653061,10.204081632653061,20.408163265306122,0.32492957151537405,0.32492957151537405,0.6498591430307481
V_GLA2_48,novel_12,307759,1,98,1,0,31.843098008506658,10.204081632653061,0,10.204081632653061,0.32492957151537405,0,0.32492957151537405
V_GLA2_48,novel_16,307759,1,98,1,1,31.843098008506658,10.204081632653061,10.204081632653061,20.408163265306122,0.32492957151537405,0.32492957151537405,0.6498591430307481
V_GLA2_48,novel_204,307759,2,747,0,1,242.72238992198442,0,1.3386880856760375,1.3386880856760375,0,0.32492957151537405,0.32492957151537405
V_GLA2_48,novel_11,307759,3,3953,1,0,1284.4465962002737,0.2529724260055654,0,0.2529724260055654,0.32492957151537405,0,0.32492957151537405
V_GLA2_48,novel_685,307759,3,3953,1,0,1284.4465962002737,0.2529724260055654,0,0.2529724260055654,0.32492957151537405,0,0.32492957151537405
V_GLA2_48,novel_3365,307759,13,2597,1,0,843.8420972254264,0.3850596842510589,0,0.3850596842510589,0.32492957151537405,0,0.32492957151537405
V_GLA2_48,novel_3975,307759,13,2597,1,0,843.8420972254264,0.3850596842510589,0,0.3850596842510589,0.32492957151537405,0,0.32492957151537405
V_GLA2_48,novel_3535,307759,15,12854,1,0,4176.644712258618,0.0777967947720554,0,0.0777967947720554,0.32492957151537405,0,0.32492957151537405
