sample,orf,mapped_reads,amplicons,gRNA_count,nsgRNA_HQ_count,nsgRNA_LQ_count,gRHPT,nsgRPTg_HQ,nsgRPTg_LQ,nsgRPTg_ALL,nsgRPHT_HQ,nsgRPHT_LQ,nsgRPHT_ALL
CVR1996,novel_27202,887815,90,7593,0,55,855.2457437641851,0,7.243513762676149,7.243513762676149,0,6.194984315426074,6.194984315426074
CVR1996,novel_27204,887815,90,7593,0,1,855.2457437641851,0,0.13170025023047544,0.13170025023047544,0,0.11263607846229226,0.11263607846229226
CVR1996,novel_27205,887815,90,7593,0,6,855.2457437641851,0,0.7902015013828526,0.7902015013828526,0,0.6758164707737535,0.6758164707737535
CVR1996,novel_27206,887815,90,7593,0,1,855.2457437641851,0,0.13170025023047544,0.13170025023047544,0,0.11263607846229226,0.11263607846229226
CVR1996,novel_27208,887815,90,7593,0,1,855.2457437641851,0,0.13170025023047544,0.13170025023047544,0,0.11263607846229226,0.11263607846229226
CVR1996,novel_27217,887815,90,7593,0,1,855.2457437641851,0,0.13170025023047544,0.13170025023047544,0,0.11263607846229226,0.11263607846229226
CVR2091,novel_215,834900,2,42343,0,1,5071.625344352617,0,0.023616654464728524,0.023616654464728524,0,0.11977482333213559,0.11977482333213559
CVR2091,novel_27202,834900,90,7859,0,11,941.3103365672536,0,1.3996691691054841,1.3996691691054841,0,1.3175230566534915,1.3175230566534915
CVR2091,novel_27204,834900,90,7859,0,1,941.3103365672536,0,0.1272426517368622,0.1272426517368622,0,0.11977482333213559,0.11977482333213559
CVR2091,novel_27205,834900,90,7859,0,1,941.3103365672536,0,0.1272426517368622,0.1272426517368622,0,0.11977482333213559,0.11977482333213559
CVR2091,novel_28277,834900,93,124204,1,1,14876.512157144567,0.008051270490483398,0.008051270490483398,0.016102540980966796,0.11977482333213559,0.11977482333213559,0.23954964666427117
CVR2091,novel_28278,834900,93,124204,2,0,14876.512157144567,0.016102540980966796,0,0.016102540980966796,0.23954964666427117,0,0.23954964666427117
CVR2091,novel_28279,834900,93,124204,6,2,14876.512157144567,0.04830762294290039,0.016102540980966796,0.06441016392386718,0.7186489399928135,0.23954964666427117,0.9581985866570847
CVR2091,novel_28283,834900,93,124204,1,0,14876.512157144567,0.008051270490483398,0,0.008051270490483398,0.11977482333213559,0,0.11977482333213559
CVR2091,novel_28285,834900,93,124204,2,1,14876.512157144567,0.016102540980966796,0.008051270490483398,0.024153811471450196,0.23954964666427117,0.11977482333213559,0.35932446999640677
CVR2091,novel_28291,834900,93,124204,1,0,14876.512157144567,0.008051270490483398,0,0.008051270490483398,0.11977482333213559,0,0.11977482333213559
CVR2091,novel_28354,834900,93,124204,1,0,14876.512157144567,0.008051270490483398,0,0.008051270490483398,0.11977482333213559,0,0.11977482333213559
CVR2091,novel_28183,834900,93,124204,0,1,14876.512157144567,0,0.008051270490483398,0.008051270490483398,0,0.11977482333213559,0.11977482333213559
CVR2091,novel_28233,834900,93,124204,0,1,14876.512157144567,0,0.008051270490483398,0.008051270490483398,0,0.11977482333213559,0.11977482333213559
CVR2091,novel_28281,834900,93,124204,0,1,14876.512157144567,0,0.008051270490483398,0.008051270490483398,0,0.11977482333213559,0.11977482333213559
CVR2091,novel_28284,834900,93,124204,0,2,14876.512157144567,0,0.016102540980966796,0.016102540980966796,0,0.23954964666427117,0.23954964666427117
CVR2091,novel_28294,834900,93,124204,0,1,14876.512157144567,0,0.008051270490483398,0.008051270490483398,0,0.11977482333213559,0.11977482333213559
CVR2091,novel_28302,834900,93,124204,0,1,14876.512157144567,0,0.008051270490483398,0.008051270490483398,0,0.11977482333213559,0.11977482333213559
CVR2091,novel_28320,834900,93,124204,0,1,14876.512157144567,0,0.008051270490483398,0.008051270490483398,0,0.11977482333213559,0.11977482333213559
CVR2091,novel_29021,834900,96,1741,1,0,208.52796742124804,0.5743825387708213,0,0.5743825387708213,0.11977482333213559,0,0.11977482333213559
CVR2096,novel_10453,681720,35,9736,1,0,1428.1523206008333,0.10271158586688578,0,0.10271158586688578,0.14668778970838467,0,0.14668778970838467
CVR2096,novel_19121,681720,63,13670,1,0,2005.2220853136187,0.07315288953913679,0,0.07315288953913679,0.14668778970838467,0,0.14668778970838467
CVR2096,novel_19125,681720,63,13670,1,0,2005.2220853136187,0.07315288953913679,0,0.07315288953913679,0.14668778970838467,0,0.14668778970838467
CVR2096,novel_19129,681720,63|64,14118,57,20,2070.938215102975,8.487694638938239,3.622047758386456,12.109742397324695,8.361204013377927,2.9337557941676935,11.29495980754562
CVR2096,novel_19132,681720,63,13670,8,3,2005.2220853136187,0.5852231163130943,0.2194586686174104,0.8046817849305047,1.1735023176670774,0.44006336912515404,1.6135656867922314
CVR2096,novel_19137,681720,63,13670,2,1,2005.2220853136187,0.14630577907827358,0.07315288953913679,0.21945866861741037,0.29337557941676934,0.14668778970838467,0.440063369125154
CVR2096,novel_19141,681720,63,13670,1,0,2005.2220853136187,0.07315288953913679,0,0.07315288953913679,0.14668778970838467,0,0.14668778970838467
CVR2096,novel_19142,681720,63,13670,1,0,2005.2220853136187,0.07315288953913679,0,0.07315288953913679,0.14668778970838467,0,0.14668778970838467
CVR2096,novel_19131,681720,63,13670,0,2,2005.2220853136187,0,0.14630577907827358,0.14630577907827358,0,0.29337557941676934,0.29337557941676934
CVR2096,novel_19133,681720,63,13670,0,1,2005.2220853136187,0,0.07315288953913679,0.07315288953913679,0,0.14668778970838467,0.14668778970838467
CVR2096,novel_19134,681720,63,13670,0,1,2005.2220853136187,0,0.07315288953913679,0.07315288953913679,0,0.14668778970838467,0.14668778970838467
CVR2096,novel_19135,681720,63,13670,0,1,2005.2220853136187,0,0.07315288953913679,0.07315288953913679,0,0.14668778970838467,0.14668778970838467
CVR2096,novel_19155,681720,63,13670,0,1,2005.2220853136187,0,0.07315288953913679,0.07315288953913679,0,0.14668778970838467,0.14668778970838467
CVR2096,novel_19157,681720,63,13670,0,1,2005.2220853136187,0,0.07315288953913679,0.07315288953913679,0,0.14668778970838467,0.14668778970838467
CVR2096,novel_26266,681720,87,11332,1,0,1662.266032975415,0.08824567596187786,0,0.08824567596187786,0.14668778970838467,0,0.14668778970838467
CVR2096,novel_26259,681720,87,11332,0,1,1662.266032975415,0,0.08824567596187786,0.08824567596187786,0,0.14668778970838467,0.14668778970838467
